driverAffected	twoCoding	geneset	NumDrivers	p	OR	eOR	switched	adjp
		KEGG_STEROID_HORMONE_BIOSYNTHESIS	0	1.0	0.0	0.16261952625588988	AKR1C3,COMT,CYP11A1,CYP21A2,CYP3A5,HSD11B1,HSD17B3,HSD3B2,SRD5A1,SULT2B1,UGT1A6,UGT2B28,UGT2B4,UGT2B7	1.0
	ATP6V0A1	KEGG_OXIDATIVE_PHOSPHORYLATION	0	0.999312532587259	0.13379531815881995	0.1997008424803678	ATP12A,ATP5D,ATP5F1,ATP5G3,ATP5J,ATP5J2,ATP6AP1,ATP6V0A1,ATP6V0A4,ATP6V0C,ATP6V0E2,ATP6V1C2,ATP6V1E2,ATP6V1G2,ATP6V1H,COX10,COX15,LHPP,NDUFA5,NDUFA9,NDUFB5,NDUFS2,NDUFS5,NDUFV1,NDUFV3,SDHA,UQCRC1	1.0
ADCY6,IMPDH2,PDE6D,POLR2B,RRM2,RRM2B	POLE,POLR1D	KEGG_PURINE_METABOLISM	3	0.9694229037735042	0.4646711173738073	0.5204519237033829	ADA,ADCY1,ADCY4,ADCY5,ADCY6,ADK,ADSL,ADSSL1,AK2,AK3L1,AK7,AMPD1,CANT1,DGUOK,ENPP3,ENTPD2,ENTPD5,ENTPD6,ENTPD8,FHIT,GART,GDA,GMPR2,GMPS,GUCY1A3,GUCY1B3,GUK1,IMPDH1,NME1-NME2,NME2,NME6,NME7,NPR2,NT5C3,NT5E,NT5M,NUDT2,NUDT5,NUDT9,PAICS,PAPSS2,PDE10A,PDE1A,PDE1B,PDE3B,PDE4B,PDE6B,PDE6G,PDE7B,PDE8A,PDE9A,PFAS,PKLR,PKM2,POLD3,POLE,POLR1B,POLR1D,POLR2D,POLR2J3,POLR3B,POLR3C,POLR3G,POLR3H,PRPS1,PRUNE,RRM1,ZNRD1	1.0
POLR2B,RRM2,RRM2B	POLE,POLR1D	KEGG_PYRIMIDINE_METABOLISM	2	0.8917418483337416	0.5717460871979625	0.6627799117231419	AK3,CANT1,CMPK1,CTPS,CTPS2,DCTD,DHODH,DUT,ENTPD5,ENTPD6,ENTPD8,NME1-NME2,NME2,NME6,NME7,NT5C3,NT5E,NT5M,NUDT2,POLD3,POLE,POLR1B,POLR1D,POLR2D,POLR2J3,POLR3B,POLR3C,POLR3G,POLR3H,RRM1,TXNRD1,TXNRD2,TYMS,UCKL1,UPP1,ZNRD1	1.0
		KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	1	1.0	0.0	0.2785396421760058	ABAT,ADSL,ADSSL1,AGXT2,ALDH4A1,ASNS,DDO,GLS,GLS2,GLUL,GOT1,GPT,GPT2	1.0
		KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	1	1.0	0.0	0.2874196510560147	AGXT2,AMT,AOC2,BHMT,CTH,DMGDH,GLYCTK,MAOB,PHGDH,PSAT1,PSPH,SHMT1,SHMT2,SRR	1.0
DNMT1,DNMT3A		KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	3	0.8383511662825515	0.5505015280649229	0.8124878565751126	AHCYL1,AHCYL2,AMD1,BHMT,CTH,DNMT1,ENOPH1,GOT1,LDHA,LDHB,MAT2B,MTAP,MTR,SMS,SRM,TRDMT1	1.0
		KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	1	0.905561455066941	0.42194221566839984	0.6248928790042848	ABAT,ACAA1,ACAA2,ACADM,ACADS,ACADSB,ALDH2,ALDH3A2,AOX1,AUH,BCAT1,BCKDHB,DBT,HADHB,HMGCL,HMGCS1,HMGCS2,MCCC2,OXCT2,PCCA	1.0
VARS	VARS	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	0	0.4449616964714026	1.821818252109912	2.6	BCAT1,LARS,PDHA1,PDHB,VARS	1.0
SUV39H1	EHMT2	KEGG_LYSINE_DEGRADATION	6	0.675978095833125	0.866090537733178	1.0686623403809923	AADAT,AASDH,AASDHPPT,AASS,ALDH2,ALDH3A2,BBOX1,EHMT2,OGDH,SETD8,SETDB2,SETMAR,SUV39H1,SUV39H2,SUV420H1,SUV420H2,TMLHE	1.0
		KEGG_ARGININE_AND_PROLINE_METABOLISM	0	0.9448647999666624	0.3418869835324688	0.5074268650113366	ABP1,ACY1,ALDH18A1,ALDH2,ALDH3A2,ALDH4A1,AMD1,CKB,CKMT1A,CKMT1B,CKMT2,GLS,GLS2,GLUL,GOT1,MAOB,NAGS,NOS3,OAT,ODC1,P4HA1,P4HA2,P4HA3,PRODH,PYCRL,SAT2,SMS,SRM	1.0
		KEGG_HISTIDINE_METABOLISM	0	1.0	0.0	0.3069857723170512	ABP1,ALDH1A3,ALDH2,ALDH3A2,ALDH3B1,AMDHD1,HAL,HEMK1,HNMT,LCMT1,MAOB,METTL2B,METTL6	1.0
		KEGG_TYROSINE_METABOLISM	0	1.0	0.0	0.2127231057712341	ADH4,ADH6,ALDH1A3,ALDH3B1,AOC2,AOX1,COMT,FAH,GOT1,HEMK1,LCMT1,MAOB,METTL2B,METTL6,NAT6	1.0
		KEGG_PHENYLALANINE_METABOLISM	0	1.0	0.0	0.49021985385621747	ALDH1A3,ALDH3B1,AOC2,GOT1,MAOB,NAT6	1.0
		KEGG_TRYPTOPHAN_METABOLISM	1	0.8829007252153	0.46545873140004573	0.6885326941802112	AADAT,AANAT,ABP1,AFMID,ALDH2,ALDH3A2,AOX1,CAT,IDO1,KMO,MAOB,OGDH,TPH1,WARS,WARS2	1.0
		KEGG_BETA_ALANINE_METABOLISM	0	1.0	0.0	0.40285976649613014	ABAT,ACADM,ALDH2,ALDH3A2,AOC2,SMS,SRM	1.0
		KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	0	1.0	0.0	0.8646202282565919	BAAT,CSAD,GGT1,GGT5	1.0
		KEGG_SELENOAMINO_ACID_METABOLISM	1	1.0	0.0	0.3418725356975786	AHCYL1,AHCYL2,CTH,GGT1,GGT5,HEMK1,LCMT1,MAT2B,METTL2B,METTL6,PAPSS2,SEPHS1,SEPHS2	1.0
RRM2,RRM2B		KEGG_GLUTATHIONE_METABOLISM	2	1.0	0.0	0.1788373642559061	G6PD,GCLC,GGCT,GGT1,GGT5,GSS,GSTA4,GSTM4,GSTO2,GSTT2,IDH1,IDH2,MGST1,ODC1,PGD,RRM1,SMS,SRM	1.0
		KEGG_STARCH_AND_SUCROSE_METABOLISM	0	1.0	0.0	0.17197953561589926	AMY2A,ENPP3,GAA,GBA3,GPI,GUSB,HK1,PGM1,PGM2,PYGL,PYGM,UGDH,UGT1A6,UGT2B28,UGT2B4,UGT2B7,UXS1	1.0
		KEGG_N_GLYCAN_BIOSYNTHESIS	0	1.0	0.0	0.19432278376559903	ALG1,ALG10B,ALG13,ALG6,ALG9,B4GALT3,DDOST,DOLPP1,DPAGT1,FUT8,MAN1C1,MAN2A2,MGAT4A,MGAT4B,MOGS,RFT1,RPN1,STT3A,TUSC3	1.0
		KEGG_OTHER_GLYCAN_DEGRADATION	0	1.0	0.0	0.5497835497835498	ENGASE,GBA,GLB1,MAN2B2,MAN2C1,MANBA,NEU1,NEU3	1.0
		KEGG_O_GLYCAN_BIOSYNTHESIS	0	1.0	0.0	0.29688195560028646	GALNT1,GALNT14,GALNT4,GALNT7,GALNTL2,GCNT1,GCNT3,ST6GALNAC1,WBSCR17	1.0
		KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0	1.0	0.0	0.20310945438626746	AMDHD2,CYB5R3,GALE,GALK1,GALK2,GALT,GMPPA,GNE,GNPDA2,GPI,HK1,MPI,NPL,PGM1,PGM2,TSTA3,UGDH,UXS1	1.0
		KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	0	1.0	0.0	0.4216523434282419	GALNS,GLB1,GUSB,HPSE,HYAL1,HYAL2,HYAL3,IDS,SGSH	1.0
		KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	0	1.0	0.0	0.40285976649613014	B3GAT1,CHPF,CHST11,CHST12,DSE,XYLT2	1.0
		KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	0	1.0	0.0	0.5853296263853449	B4GALT3,B4GALT4,CHST6,FUT8	1.0
		KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	0	1.0	0.0	0.3418725356975786	B3GAT1,EXT2,GLCE,HS3ST2,HS3ST5,NDST1,NDST2,NDST3,XYLT2	1.0
		KEGG_GLYCEROLIPID_METABOLISM	0	0.9278350527424837	0.37774525981780666	0.5601049228329165	AGPAT1,AGPAT4,AGPAT9,ALDH2,ALDH3A2,DGAT2,DGKA,DGKG,DGKH,DGKI,DGKZ,GK,GLYCTK,GPAT2,LCLAT1,LIPC,PPAP2C	1.0
PIK3CA,PIK3CB,PLCG1,PTEN		KEGG_INOSITOL_PHOSPHATE_METABOLISM	9	0.9448647999666624	0.3418869835324688	0.5074268650113366	CDIPT,IMPA1,IMPA2,INPP4A,INPP5B,INPP5E,IPPK,ISYNA1,MINPP1,OCRL,PI4KA,PI4KB,PIK3C3,PIK3CG,PIP4K2C,PIP5K1B,PLCB1,PLCD1	1.0
		KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	0	1.0	0.0	0.35532560131490615	PIGC,PIGG,PIGK,PIGP,PIGQ,PIGS,PIGT,PIGU,PIGV,PIGW	1.0
		KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	0	0.9840507309489335	0.23770736176425444	0.353799744749971	AGPAT1,AGPAT4,AGPAT9,CDIPT,CDS2,CHKA,CHKB,CRLS1,DGKA,DGKG,DGKH,DGKI,DGKZ,GNPAT,GPAT2,GPD1,GPD2,JMJD7-PLA2G4B,LCLAT1,LPCAT3,LYPLA1,LYPLA2,PCYT1B,PCYT2,PGS1,PHOSPHO1,PISD,PLA2G15,PLA2G2A,PLA2G2D,PLA2G4A,PLA2G5,PPAP2C,PTDSS1	1.0
		KEGG_ETHER_LIPID_METABOLISM	0	1.0	0.0	0.27018978307987807	JMJD7-PLA2G4B,PAFAH1B3,PLA2G2A,PLA2G2D,PLA2G4A,PLA2G5,PPAP2C	1.0
		KEGG_ARACHIDONIC_ACID_METABOLISM	1	1.0	0.0	0.1542195178558815	AKR1C3,ALOX15,ALOX15B,ALOX5,CYP2B6,CYP2C9,CYP2E1,EPHX2,GGT1,GGT5,JMJD7-PLA2G4B,PLA2G2A,PLA2G2D,PLA2G4A,PLA2G5,PTGES,PTGS1,PTGS2,TBXAS1	1.0
		KEGG_LINOLEIC_ACID_METABOLISM	0	1.0	0.0	0.3069857723170512	ALOX15,CYP2C9,CYP2E1,CYP3A5,JMJD7-PLA2G4B,PLA2G2A,PLA2G2D,PLA2G4A,PLA2G5	1.0
		KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0	1.0	0.0	0.4650198286561923	ACOX1,ACOX3,JMJD7-PLA2G4B,PLA2G2A,PLA2G2D,PLA2G4A,PLA2G5	1.0
		KEGG_SPHINGOLIPID_METABOLISM	0	1.0	0.0	0.2232862535892839	ACER3,ARSA,ASAH1,ASAH2,B4GALT6,GAL3ST1,GBA,GLB1,NEU1,NEU3,PPAP2C,SMPD1,SMPD3,SMPD4,UGT8	1.0
		KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	0	1.0	0.0	0.3418725356975786	B3GNT3,B3GNT4,B3GNT5,B4GALT3,B4GALT4,FUT2,FUT3,FUT6,GCNT2,ST3GAL4,ST3GAL6	1.0
		KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	0	1.0	0.0	0.6257786101046289	A4GALT,B3GALNT1,FUT2,NAGA	1.0
		KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	0	1.0	0.0	0.5853296263853449	GLB1,SLC33A1,ST6GALNAC4,ST8SIA5	1.0
		KEGG_PYRUVATE_METABOLISM	2	1.0	0.0	0.2232862535892839	ACSS2,ALDH2,ALDH3A2,DLAT,HAGH,HAGHL,LDHA,LDHB,ME1,PCK2,PDHA1,PDHB,PKLR,PKM2	1.0
		KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	1	1.0	0.0	0.5497835497835498	AFMID,CS,GLYCTK,MTHFD1L,MTHFD2,MTHFD2L,PGP	1.0
		KEGG_PROPANOATE_METABOLISM	2	0.8294315919722879	0.5677780863410183	0.8375967228038234	ABAT,ACADM,ACSS2,ALDH2,ALDH3A2,LDHA,LDHB,PCCA,SUCLA2,SUCLG2	1.0
		KEGG_BUTANOATE_METABOLISM	0	1.0	0.0	0.26232397378642436	ABAT,ACADS,ACSM1,ACSM2A,ALDH2,ALDH3A2,BDH1,BDH2,HMGCL,HMGCS1,HMGCS2,OXCT2,PDHA1,PDHB	1.0
		KEGG_ONE_CARBON_POOL_BY_FOLATE	2	1.0	0.0	0.5182998819362455	ALDH1L1,AMT,DHFR,GART,MTHFD1L,MTHFD2,MTHFD2L,MTR,SHMT1,SHMT2,TYMS	1.0
		KEGG_RIBOFLAVIN_METABOLISM	0	1.0	0.0	0.5497835497835498	ACP2,ACP5,ENPP3,PHPT1	1.0
		KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	0	1.0	0.0	0.36987687637038286	AOX1,ENPP3,NADK,NADSYN1,NMNAT3,NNT,NT5C3,NT5E,NT5M,NUDT12,QPRT	1.0
		KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	0	1.0	0.0	0.5497835497835498	BCAT1,COASY,ENPP3,PANK1,PANK2,PANK4,PPCS	1.0
		KEGG_FOLATE_BIOSYNTHESIS	0	1.0	0.0	0.789333196447821	ALPL,ALPP,DHFR,FPGS,GCH1,QDPR	1.0
		KEGG_RETINOL_METABOLISM	0	1.0	0.0	0.1397636894465647	ADH4,ADH6,ALDH1A1,ALDH1A2,CYP26B1,CYP2B6,CYP2C9,CYP3A5,DGAT2,DHRS3,DHRS4L2,LRAT,RDH10,RDH11,RDH16,RDH5,RETSAT,UGT1A6,UGT2B28,UGT2B4,UGT2B7	1.0
		KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	0	1.0	0.0	0.2178774128390777	COX10,COX15,CP,FECH,GUSB,HMBS,MMAB,PPOX,UGT1A6,UGT2B28,UGT2B4,UGT2B7,UROS	1.0
		KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	0	1.0	0.0	0.5853296263853449	FDPS,GGPS1,HMGCS1,HMGCS2,MVK,PDSS1,PDSS2	1.0
		KEGG_LIMONENE_AND_PINENE_DEGRADATION	0	1.0	0.0	0.8646202282565919	ALDH2,ALDH3A2,NAT6	1.0
		KEGG_NITROGEN_METABOLISM	0	1.0	0.0	0.38566655781355974	AMT,ASNS,CA12,CA14,CA3,CA8,CA9,CTH,GLS,GLS2,GLUL,HAL	1.0
		KEGG_SULFUR_METABOLISM	0	1.0	0.0	0.6722200358563994	BPNT1,CHST11,CHST12,PAPSS2,SULT1A2,SULT1A3,SULT2B1,SUOX	1.0
VARS	VARS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0	0.8890295291294212	0.4537637150763659	0.6714442252903792	AARS,CARS,DARS,FARS2,HARS,KARS,LARS,NARS,NARS2,RARS,RARS2,SARS,SARS2,SEPSECS,TARS,TARS2,VARS,WARS,WARS2,YARS	1.0
		KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0	1.0	0.0	0.12776842757500398	ADH4,ADH6,AKR1C3,ALDH1A3,ALDH3B1,CYP2B6,CYP2C9,CYP2E1,CYP2S1,CYP3A5,GSTA4,GSTM4,GSTO2,GSTT2,MGST1,UGT1A6,UGT2B28,UGT2B4,UGT2B7	1.0
		KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0	1.0	0.0	0.12421121198550665	ADH4,ADH6,ALDH1A3,ALDH3B1,AOX1,CYP2B6,CYP2C9,CYP2D6,CYP2E1,CYP3A5,FMO5,GSTA4,GSTM4,GSTO2,GSTT2,MAOB,MGST1,UGT1A6,UGT2B28,UGT2B4,UGT2B7	1.0
IMPDH2		KEGG_DRUG_METABOLISM_OTHER_ENZYMES	0	1.0	0.0	0.1753418690753201	CES1,CES7,CYP3A5,GMPS,GUSB,IMPDH1,UCKL1,UGT1A6,UGT2B28,UGT2B4,UGT2B7,UPP1	1.0
		KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	0	1.0	0.0	0.40285976649613014	ACAA1,ACOT2,ACOT7,ACOX1,ACOX3,BAAT,ELOVL5,PECR,TECR	1.0
		KEGG_ABC_TRANSPORTERS	0	0.905561455066941	0.42194221566839984	0.6248928790042848	ABCA13,ABCA2,ABCA3,ABCA5,ABCB4,ABCB6,ABCB7,ABCB8,ABCB9,ABCC3,ABCC4,ABCC5,ABCC8,ABCD1,ABCD3,ABCD4,ABCG1,ABCG2,ABCG4,CFTR	1.0
RPL5,RPS23,RPS27A		KEGG_RIBOSOME	2	0.9481587101832561	0.4205691511197285	0.5220482861237392	RPL11,RPL14,RPL15,RPL17,RPL34,RPL35A,RPL6,RPL7A,RPLP0,RPS15A,RPS27A,RPSA,UBA52	1.0
CNOT4,DIS3,EXOSC4,EXOSC5,EXOSC7,EXOSC8,EXOSC9	XRN2,ZCCHC7	KEGG_RNA_DEGRADATION	5	0.1921216659325016	1.6933235365650336	1.843642103186347	CNOT2,CNOT4,CNOT6,CNOT6L,CNOT7,CNOT8,DDX6,DIS3,ENO1,ENO3,EXOSC2,EXOSC8,HSPD1,PAPD7,PAPOLA,PAPOLG,PARN,RQCD1,XRN2,ZCCHC7	1.0
POLR2B	POLR1D	KEGG_RNA_POLYMERASE	1	0.7885668577639228	0.6492242531785567	0.9556524447212706	POLR1B,POLR1D,POLR2D,POLR2J3,POLR3B,POLR3C,POLR3G,POLR3H,ZNRD1	1.0
TAF1,TAF6,TAF9,TBP	GTF2H1,TAF1,TAF6,TAF9	KEGG_BASAL_TRANSCRIPTION_FACTORS	1	0.11543328771325338	2.2869872543990373	2.530760062345283	GTF2A1,GTF2H1,GTF2H3,GTF2I,TAF1,TAF11,TAF12,TAF5,TAF6,TAF9,TBP	1.0
MCM2,MCM3,RFC1	POLE	KEGG_DNA_REPLICATION	2	0.5663494652263705	1.070936928857277	1.3178434507538639	LIG1,MCM2,MCM3,MCM4,MCM5,POLD3,POLE,RFC1,RNASEH2B,RPA2,RPA3	1.0
DDX5,DHX15,HNRNPA1,HNRNPA3,HNRNPM,HNRNPU,HSPA8,PCBP1,PPIE,PRPF8,RBMX,SF3B1,SF3B4,SFRS13A,SFRS2,SFRS3,SFRS7,SFRS9,SNRNP70,SNRPA,SNRPD2,TRA2B,U2AF1,U2AF2	DHX15,HNRNPC,HNRNPU,PPIE,RBM25,RBMX,SF3B4	KEGG_SPLICEOSOME	11	0.0695516521238519	1.7300355295092702	1.7990715667311412	BAT1,DDX5,DHX15,EFTUD2,EIF4A3,HNRNPC,HNRNPK,HNRNPU,HSPA1A,HSPA1L,HSPA2,HSPA6,HSPA8,NHP2L1,PLRG1,PPIE,PQBP1,PRPF3,PRPF4,PRPF40A,PUF60,RBM17,RBM25,RBMX,SF3A3,SF3B4,SFRS1,SFRS13A,SFRS2,SFRS3,SFRS4,SFRS6,SFRS7,SNRNP27,SNRPA,SNRPA1,SNRPB,SNRPB2,SR140,THOC1,THOC2,TRA2B,USP39	1.0
PSMA6,PSMC3,PSMD11		KEGG_PROTEASOME	3	1.0	0.0	0.1862607870105527	PSMA4,PSMB2,PSMB5,PSMC1,PSMC2,PSMD12,PSMD13,PSMD2,PSMD3,PSME4,PSMF1	1.0
		KEGG_PROTEIN_EXPORT	0	0.7234971739947986	0.7908671910176933	1.1597381342062194	IMMP1L,IMMP2L,OXA1L,SEC62,SRP54,SRP68,SRP72,SRP9,SRPR	1.0
ACSL3,ACSL4,ILK,PDPK1,RXRA,UBC	ILK,PPARD,SCP2	KEGG_PPAR_SIGNALING_PATHWAY	2	0.1488902254935715	1.7438191887732444	1.8723089254561742	ACAA1,ACADM,ACOX1,ACOX3,ACSL1,ACSL3,ACSL4,ANGPTL4,APOA1,APOA2,CPT1A,GK,HMGCS2,ILK,ME1,MMP1,PCK2,PLIN1,PLTP,PPARD,RXRB,SCP2,SLC27A2,SLC27A5,SORBS1,UBC	1.0
PARP1	POLE	KEGG_BASE_EXCISION_REPAIR	0	0.8468053523189611	0.5342412103515704	0.788834576794443	APEX1,APEX2,HMGB1,LIG1,MBD4,MPG,NEIL2,OGG1,PARP2,PARP3,POLD3,POLE,POLL,TDG,UNG	1.0
CDK7,RAD23B,RFC1	GTF2H1,POLE	KEGG_NUCLEOTIDE_EXCISION_REPAIR	3	0.675978095833125	0.866090537733178	1.0686623403809923	CDK7,DDB2,ERCC1,ERCC4,ERCC6,ERCC8,GTF2H1,GTF2H3,LIG1,POLD3,POLE,RAD23A,RAD23B,RFC1,RPA2,RPA3	1.0
MLH1,MLH3,MSH2,MSH3,MSH6,PMS2,RFC1	MLH1	KEGG_MISMATCH_REPAIR	3	0.33854021425218617	1.7367513384114086	2.1182653314574194	EXO1,LIG1,MLH1,MLH3,MSH2,MSH6,POLD3,RFC1,RPA2,RPA3	1.0
MUS81,NBN	MUS81,RAD51C,RAD51L3	KEGG_HOMOLOGOUS_RECOMBINATION	2	0.17678482142491858	2.192227150380646	2.5050243640857057	MUS81,POLD3,RAD50,RAD51C,RAD51L1,RAD51L3,RPA2,RPA3,TOP3A	1.0
		KEGG_NON_HOMOLOGOUS_END_JOINING	0	1.0	0.0	0.6257786101046289	DCLRE1C,POLL,PRKDC,RAD50,XRCC6	1.0
AKT1,BRAF,CASP3,CHUK,CRK,CRKL,EGF,EGFR,FAS,FGF1,FGF2,FGFR1,FLNA,GRB2,HRAS,HSPA8,IKBKB,KRAS,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAP3K11,MAP3K3,MAP3K5,MAP3K7,MAP3K8,MAP4K1,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK3,MAPK8,MAPK8IP1,MAPK9,MAPKAPK2,MAX,MECOM,MYC,NLK,NR4A1,PAK1,PPP5C,RAC1,RAF1,RASA1,SOS1,SOS2,TAOK2,TGFB2,TGFBR2,TP53	FGFR1,GRB2,MAP3K7,MAP4K4,MAX,PDGFRA,PPP5C,SOS2,TAOK2,TAOK3,TNF	KEGG_MAPK_SIGNALING_PATHWAY	36	0.06411869371635043	1.4971695371176796	1.5298086190279498	AKT1,AKT2,ATF2,CACNA1A,CACNA1F,CACNA2D2,CACNA2D3,CACNA2D4,CACNB3,CACNB4,CDC42,CHP,CRK,CRKL,DAXX,DUSP1,DUSP10,DUSP9,ECSIT,ELK1,FAS,FGF1,FGF12,FGF14,FGF22,FGFR1,FGFR2,FGFR3,FGFR4,FLNB,FLNC,FOS,GADD45A,GNA12,GRB2,HSPA1A,HSPA1L,HSPA2,HSPA6,HSPA8,IL1R2,JMJD7-PLA2G4B,MAP2K1,MAP2K3,MAP2K5,MAP3K12,MAP3K14,MAP3K6,MAP3K7,MAP3K8,MAP4K4,MAPK11,MAPKAPK5,MAPKSP1,MAX,MKNK1,MKNK2,NFATC4,NFKB1,NLK,NTF3,NTRK2,PAK1,PDGFA,PDGFRA,PLA2G2A,PLA2G2D,PLA2G4A,PLA2G5,PPM1A,PPM1B,PPP3CB,PPP3CC,PPP5C,PTPRR,RAC1,RAP1A,RAP1B,RASA1,RASA2,RASGRF2,RASGRP2,RELA,RPS6KA1,RPS6KA3,RPS6KA4,RRAS2,SOS1,SOS2,STK4,TAB2,TAOK2,TAOK3,TGFB2,TNF,TP53,TRAF2,ZAK	1.0
ABL1,ABL2,AKT1,BRAF,CAMK2A,CDKN1A,CDKN1B,CRK,CRKL,EGF,EGFR,ERBB2,ERBB3,GAB1,GRB2,GSK3B,HRAS,KRAS,MAP2K1,MAP2K4,MAPK1,MAPK10,MAPK3,MAPK8,MAPK9,MTOR,MYC,NCK1,NRG1,PAK1,PAK3,PIK3CA,PIK3CB,PIK3R1,PIK3R2,PLCG1,PTK2,RAF1,RPS6KB1,RPS6KB2,SHC1,SOS1,SOS2,SRC	CAMK2A,ERBB3,GAB1,GRB2,NCK2,NRG1,PTK2,SOS2	KEGG_ERBB_SIGNALING_PATHWAY	23	5.189735334415488e-4	3.26631742835834	3.3661437598607034	ABL1,AKT1,AKT2,CAMK2A,CAMK2G,CRK,CRKL,ELK1,ERBB2,ERBB3,ERBB4,GAB1,GRB2,MAP2K1,NCK2,NRG1,NRG2,PAK1,PAK3,PAK4,PAK6,PAK7,PIK3CG,PIK3R2,PIK3R3,PTK2,RPS6KB2,SHC2,SOS1,SOS2,SRC,STAT5A,TGFA	0.6772604611412212
